sact_id|act_id|sact_text
1|1|entering a new phase
2|1|striking out on a new path
3|1|expanding horizons
4|1|starting something new
5|1|beginning an adventure
6|1|going on a journey
7|1|heading into the unknown
8|2|living in the moment
9|2|letting go of expectations
10|2|doing the unexpected
11|2|acting on impulse
12|2|feeling uninhibited
13|2|surprising someone
14|2|feeling carefree
15|3|trusting the flow
16|3|staying open
17|3|letting go of worry and fear
18|3|feeling protected and loved
19|3|living in joy
20|3|recapturing innocence
21|3|believing
22|4|accepting your choices
23|4|"taking the ""foolish"" path"
24|4|pursuing a pipe dream
25|4|being true to yourself
26|4|"taking a ""crazy"" chance"
27|4|trusting your heart's desire
28|5|doing what needs to be done
29|5|realizing your potential
30|5|making what's possible real
31|5|practicing what you preach
32|5|carrying out plans
33|5|producing magical results
34|5|using your talents
35|6|knowing what you are doing and why
36|6|acknowledging your motivations
37|6|understanding your intentions
38|6|examining the known situation
39|7|having singleness of purpose
40|7|being totally committed
41|7|applying the force of your will
42|7|feeling centered
43|7|setting aside distractions
44|7|focusing on a goal
45|8|making a strong impact
46|8|having vitality
47|8|creating miracles
48|8|becoming energized
49|8|feeling vigorous
50|8|being creative
51|9|withdrawing from involvement
52|9|allowing events to proceed without intervention
53|9|being receptive to influence
54|9|becoming calm
55|9|being passive
56|9|waiting patiently
57|10|using your intuition
58|10|seeking guidance from within
59|10|trusting your inner voice
60|10|opening to dreams and the imagination
61|10|being aware of a larger reality
62|11|understanding the possibilities
63|11|opening to what could be
64|11|seeing your hidden talents
65|11|allowing development
66|11|letting what is there flower
67|12|looking beyond the obvious
68|12|approaching a closed off area
69|12|opening to the unknown
70|12|remembering something important
71|12|sensing the secret and hidden
72|12|seeking what is concealed
73|12|acknowledging the Shadow
74|13|giving birth
75|13|nourishing life
76|13|nurturing and caring for others
77|13|cherishing the world
78|13|expressing tenderness
79|13|working with children
80|14|enjoying extravagance
81|14|receiving lavish reward
82|14|luxuriating in plenty
83|14|having more than enough
84|14|feeling rich
85|15|giving and receiving pleasure
86|15|focusing on the body
87|15|appreciating beauty
88|15|feeling vibrantly healthy
89|15|being earthy
90|15|doing physical activity
91|16|relating to plants and animals
92|16|embracing the natural
93|16|feeling connected to the Earth
94|16|going outdoors
95|16|harmonizing with natural rhythms
96|17|establishing a family line
97|17|setting direction and tone
98|17|protecting and defending
99|17|guiding growth
100|17|bringing security and comfort
101|17|offering explanations
102|18|creating order out of chaos
103|18|categorizing
104|18|being systematic
105|18|providing shape and form
106|18|being organized
107|18|applying reason
108|18|coordinating
109|18|sticking to a plan
110|19|taking a leadership role
111|19|commanding
112|19|exerting control
113|19|representing the establishment
114|19|being in a position of strength
115|19|coming in contact with officials
116|19|setting direction
117|20|establishing law and order
118|20|operating from sound principles
119|20|applying rules or guidelines
120|20|working within the legal system
121|20|setting standards of behavior
122|20|following a regimen
123|21|pursuing knowledge
124|21|becoming informed
125|21|increasing understanding
126|21|studying and learning
127|21|seeking a deeper meaning
128|21|finding out more
129|22|sharing a cultural heritage
130|22|learning a religious tradition
131|22|honoring ritual and ceremony
132|22|identifying a world view
133|22|following a discipline
134|22|knowing where to put your faith
135|23|following the rules
136|23|taking an orthodox approach
137|23|staying within conventional bounds
138|23|adapting to the system
139|23|fitting in
140|23|going along with the program
141|23|doing what's expected
142|23|being part of the Establishment
143|24|being committed to a cause
144|24|devoting energy to a group
145|24|joining an organization
146|24|working as part of a team
147|24|feeling loyal to others
148|24|being in an institutionalized setting
149|25|establishing bonds
150|25|feeling love
151|25|forming a union or marriage
152|25|acknowledging kinship
153|25|sympathizing with another
154|25|getting closer
155|25|making a connection
156|25|being intimate
157|26|seeking union
158|26|experiencing desire
159|26|making love
160|26|opening to another
161|26|responding with passion
162|26|feeling a physical attraction
163|26|tapping inner energy
164|27|questioning received opinions
165|27|figuring out where you stand
166|27|staying true to yourself
167|27|setting your own philosophy
168|27|going by your own standards
169|27|making up your own mind
170|28|struggling with temptation
171|28|choosing between right and wrong
172|28|facing an ethical or moral choice
173|28|refusing to let ends justify means
174|28|finding out what you care about
175|29|reaching your goal
176|29|winning
177|29|being successful
178|29|dominating
179|29|coming out on top
180|29|beating the competition
181|30|being determined to succeed
182|30|focusing your intent
183|30|rising above temptation
184|30|letting nothing distract you
185|30|sustaining an effort
186|30|concentrating your energies
187|30|fixing on a goal
188|31|being ego-focused
189|31|establishing an identify
190|31|knowing who you are
191|31|feeling self-confident
192|31|having faith in yourself
193|31|looking out for your interests
194|32|mastering emotions
195|32|curbing impulses
196|32|maintaining discipline
197|32|holding in anger
198|32|getting your way
199|32|assuming the reins of power
200|32|showing authority
201|33|knowing you can endure
202|33|having a gallant spirit
203|33|feeling an unshakable resolve
204|33|taking heart despite setbacks
205|33|having stamina
206|33|being a rock
207|34|dealing calmly with frustration
208|34|accepting others
209|34|taking time
210|34|maintaining composure
211|34|refusing to get angry
212|34|showing forbearance
213|35|giving others lots of space
214|35|tolerating
215|35|understanding what others are feeling
216|35|accepting
217|35|forgiving imperfection
218|35|being kind
219|36|thinking things over
220|36|focusing inward
221|36|concentrating less on the senses
222|36|quieting yourself
223|36|looking for answers within
224|36|needing to understand
225|37|seeking greater understanding
226|37|looking for something
227|37|wanting the truth at all costs
228|37|going on a personal quest
229|37|needing more
230|37|desiring a new direction
231|38|going to/being a mentor
232|38|accepting/offering wise counsel
233|38|learning from/being a guru
234|38|turning to/being a trusted teacher
235|38|being helped/helping
