act_id|root_card|act_text
1|maj00|beginning
2|maj00|being spontaneous
3|maj00|having faith
4|maj00|embracing folly
5|maj01|taking action
6|maj01|acting consciously
7|maj01|concentrating
8|maj01|experiencing power
9|maj02|staying nonactive
10|maj02|accessing the unconscious
11|maj02|seeing the potential
12|maj02|sensing the mystery
13|maj03|mothering
14|maj03|welcoming abundance
15|maj03|experiencing the senses
16|maj03|responding to Nature
17|maj04|fathering
18|maj04|emphasizing structure
19|maj04|exercising authority
20|maj04|regulating
21|maj05|getting an education
22|maj05|having a belief system
23|maj05|conforming
24|maj05|identifying with a group
25|maj06|relating
26|maj06|being sexual
27|maj06|establishing personal beliefs
28|maj06|determining values
29|maj07|achieving victory
30|maj07|using your will
31|maj07|asserting yourself
32|maj07|achieving hard control
33|maj08|showing strength
34|maj08|being patient
35|maj08|being compassionate
36|maj09|being introspective
37|maj09|searching
38|maj09|receiving/giving guidance
39|maj10|feeling a sense of destiny
40|maj10|being at a turning point
41|maj10|feeling movement
42|maj11|respecting justice
43|maj11|assuming responsibility
44|maj11|preparing for a decision
45|maj12|letting go
46|maj12|reversing
47|maj12|suspending
48|maj13|ending
49|maj13|going through transition
50|maj13|eliminating
51|maj14|being temperate
52|maj14|maintaining balance
53|maj14|experiencing health
54|maj14|combining
55|maj15|experiencing bondage
56|maj15|focusing on the material
57|maj15|staying in ignorance
58|maj15|feeling hopeless
59|maj16|going through sudden change
60|maj16|releasing
61|maj16|falling down
62|maj16|having a revelation
63|maj17|regaining hope
64|maj17|being inspired
65|maj17|being generous
66|maj17|feeling serene
67|maj18|feeling fear
68|maj18|believing illusions
69|maj18|stimulating the imagination
70|maj18|feeling bewildered
71|maj19|becoming enlightened
72|maj19|experiencing greatness
73|maj19|feeling vitality
74|maj19|having assurance
75|maj20|making a judgment
76|maj20|feeling reborn
77|maj20|hearing a call
78|maj20|finding absolution
79|maj21|integrating
80|maj21|accomplishing
81|maj21|becoming involved
82|maj21|feeling fulfilled
83|wa|using creative force
